Timestamp (s),RR Interval (ms),Event
389.827,575.195,
389.827,595.703,
390.817,614.258,
390.817,597.656,
391.807,586.914,
392.810,609.375,
392.810,629.883,
393.831,620.117,
394.821,616.211,
394.821,632.813,
395.947,654.297,
395.947,643.555,
396.801,658.203,
397.837,679.688,
397.837,675.781,
398.826,642.578,
399.816,648.438,
399.816,656.250,
400.805,639.648,
401.795,618.164,
401.795,628.906,
402.831,625.000,
403.820,602.539,
403.820,621.094,
404.835,646.484,
404.835,658.203,
405.801,628.906,
406.880,654.297,
406.880,665.039,
407.825,644.531,
408.815,632.813,
408.815,643.555,
409.805,645.508,
410.795,620.117,
410.795,623.047,
411.831,646.484,
411.831,644.531,
412.820,620.117,
413.811,628.906,
413.811,645.508,
414.800,654.297,
415.843,631.836,
415.843,620.117,
416.825,638.672,
417.861,637.695,
417.861,615.234,
418.850,630.859,
418.850,662.109,
419.795,673.828,
420.830,639.648,
420.830,643.555,
421.866,662.109,
422.810,655.273,
422.810,626.953,
423.800,638.672,
424.879,644.531,
424.879,637.695,
425.825,604.492,
425.825,586.914,
426.814,583.008,
427.805,600.586,
427.805,622.070,
428.795,616.211,
428.795,600.586,
429.829,615.234,
430.820,637.695,
430.820,640.625,
431.809,621.094,
432.800,638.672,
432.800,654.297,
433.834,641.602,
434.824,621.094,
434.824,628.906,
435.815,635.742,
435.815,630.859,
436.805,617.188,
437.795,629.883,
437.795,643.555,
438.875,627.930,
439.820,629.883,
439.820,652.344,
440.809,663.086,
441.800,645.508,
441.800,643.555,
442.834,626.953,
442.834,602.539,
443.824,579.102,
444.814,569.336,
444.814,576.172,
445.805,602.539,
445.805,631.836,
446.794,625.000,
447.896,645.508,
447.896,683.594,
448.827,676.758,
449.810,627.930,
449.810,616.211,
450.799,616.211,
450.799,619.141,
451.834,617.188,
452.824,615.234,
452.824,625.000,
453.814,641.602,
454.804,651.367,
454.804,649.414,
455.794,606.445,
455.794,599.609,
456.828,609.375,
457.819,625.977,
457.819,615.234,
458.809,595.703,
459.799,603.516,
459.799,634.766,
460.834,650.391,
460.834,608.398,
461.823,576.172,
462.813,575.195,
462.813,571.289,
463.803,602.539,
463.803,642.578,
464.794,664.063,
465.829,645.508,
465.829,604.492,
466.820,583.008,
466.820,577.148,
467.853,569.336,
467.853,550.781,
468.844,548.828,
469.834,552.734,
469.834,567.383,
470.868,565.430,
470.868,565.430,
471.813,588.867,
472.848,605.469,
472.848,592.773,
473.794,574.219,
473.794,590.820,
474.828,609.375,
475.819,622.070,
475.819,603.516,
476.809,601.563,
476.809,619.141,
477.799,617.188,
478.833,605.469,
478.833,621.094,
479.822,642.578,
480.813,651.367,
480.813,632.813,
481.803,638.672,
481.803,642.578,
482.793,618.164,
483.832,626.953,
483.832,631.836,
484.818,600.586,
484.818,583.008,
485.808,608.398,
486.798,600.586,
486.798,590.820,
487.833,591.797,
487.833,610.352,
488.822,613.281,
489.812,593.750,
489.812,581.055,
490.802,592.773,
490.802,592.773,
491.793,575.195,
492.827,570.313,
492.827,576.172,
493.818,589.844,
493.818,614.258,
494.809,629.883,
495.797,637.695,
495.797,630.859,
496.832,630.859,
497.832,626.953,
497.832,612.305,
498.812,596.680,
498.812,591.797,
499.803,604.492,
500.792,629.883,
500.792,643.555,
501.828,631.836,
502.817,633.789,
502.817,666.992,
503.807,694.336,
504.797,682.617,
504.797,644.531,
505.832,626.953,
506.828,632.813,
506.828,640.625,
507.812,630.859,
507.812,605.469,
508.802,586.914,
509.837,590.820,
509.837,611.328,
510.827,635.742,
510.827,640.625,
511.818,619.141,
512.808,591.797,
512.808,594.727,
513.799,597.656,
513.799,600.586,
514.832,611.328,
515.822,613.281,
515.822,612.305,
516.859,606.445,
516.859,579.102,
517.847,562.500,
518.836,562.500,
518.836,574.219,
519.827,603.516,
519.827,614.258,
520.818,577.148,
520.818,578.125,
521.810,592.773,
522.797,627.930,
522.797,635.742,
523.832,595.703,
524.822,606.445,
524.822,618.164,
525.811,627.930,
525.811,637.695,
526.803,637.695,
527.837,628.906,
527.837,594.727,
528.827,572.266,
528.827,564.453,
529.867,569.336,
530.806,583.008,
530.806,578.125,
531.796,595.703,
531.796,648.438,
532.831,646.484,
533.821,634.766,
534.812,667.969,
534.812,715.820,
535.801,669.922,
536.792,653.320,
536.792,677.734,
537.826,683.594,
538.823,658.203,
538.823,661.133,
539.807,666.016,
539.807,666.016,
540.796,637.695,
541.831,642.578,
541.831,666.016,
542.822,651.367,
543.811,623.047,
543.811,607.422,
544.846,580.078,
544.846,580.078,
545.792,575.195,
546.826,570.313,
546.826,583.984,
547.826,605.469,
547.826,607.422,
548.806,607.422,
549.796,641.602,
549.796,662.109,
550.830,630.859,
551.822,619.141,
551.822,635.742,
552.811,646.484,
552.811,616.211,
553.801,610.352,
554.791,616.211,
554.791,624.023,
555.827,608.398,
556.816,609.375,
556.816,628.906,
557.805,643.555,
557.805,614.258,
558.795,627.930,
559.831,651.367,
559.831,635.742,
560.821,605.469,
561.811,610.352,
561.811,625.000,
562.800,627.930,
562.800,611.328,
563.791,598.633,
564.826,601.563,
564.826,613.281,
565.815,622.070,
565.815,628.906,
566.852,604.492,
567.840,586.914,
567.840,590.820,
568.830,599.609,
568.831,608.398,
569.820,600.586,
570.811,598.633,
570.811,614.258,
571.801,631.836,
571.801,611.328,
572.835,607.422,
573.825,625.977,
573.825,631.836,
574.815,629.883,
575.805,617.188,
575.805,589.844,
576.840,572.266,
576.840,573.242,
577.829,579.102,
577.829,574.219,
578.820,570.313,
579.817,597.656,
579.817,628.906,
580.889,622.070,
581.790,606.445,
581.790,622.070,
582.824,644.531,
582.824,638.672,
583.860,632.813,
584.804,649.414,
584.804,646.484,
585.794,648.438,
586.830,607.422,
586.830,593.750,
587.821,591.797,
587.821,602.539,
588.816,600.586,
588.816,581.055,
589.799,561.523,
590.834,566.406,
590.834,580.078,
591.824,598.633,
591.824,609.375,
592.813,582.031,
593.804,568.359,
593.804,590.820,
594.794,658.203,
595.829,682.617,
595.829,631.836,
596.818,623.047,
596.818,635.742,
597.817,614.258,
598.799,595.703,
598.799,570.313,
599.789,563.477,
599.789,558.594,
600.823,564.453,
600.823,566.406,
601.815,595.703,
602.804,617.188,
602.804,654.297,
603.794,643.555,
604.828,648.438,
604.828,680.664,
605.818,687.500,
606.817,681.641,
606.817,620.117,
607.798,601.563,
608.789,600.586,
608.789,612.305,
609.823,610.352,
609.823,581.055,
610.813,571.289,
611.804,590.820,
611.804,632.813,
612.793,648.438,
613.828,641.602,
613.828,701.172,
614.818,751.953,
615.809,716.797,
615.809,665.039,
616.844,698.242,
617.834,726.563,
617.834,680.664,
618.823,691.406,
619.813,692.383,
619.813,674.805,
620.813,635.742,
621.838,641.602,
622.827,680.664,
622.827,704.102,
623.818,678.711,
623.818,634.766,
624.808,640.625,
625.797,651.367,
625.797,645.508,
626.788,606.445,
627.823,599.609,
627.823,613.281,
628.813,634.766,
628.813,642.578,
629.811,642.578,
630.794,633.789,
630.794,632.813,
631.872,595.703,
631.872,585.938,
632.817,590.820,
633.808,621.094,
633.808,666.016,
634.843,651.367,
635.787,616.211,
635.787,625.000,
636.868,632.813,
636.868,599.609,
637.812,606.445,
638.802,598.633,
638.802,583.984,
639.837,590.820,
640.828,615.234,
640.828,646.484,
641.817,638.672,
641.817,605.469,
642.808,623.047,
643.797,636.719,
643.797,653.320,
644.787,622.070,
645.823,596.680,
645.823,598.633,
646.812,602.539,
646.812,580.078,
647.802,576.172,
647.802,587.891,
648.799,585.938,
649.826,586.914,
649.826,583.008,
650.816,584.961,
650.816,579.102,
651.806,563.477,
651.806,562.500,
652.797,554.688,
653.787,554.688,
653.787,568.359,
654.821,598.633,
654.821,625.977,
655.812,639.648,
656.802,638.672,
656.802,607.422,
657.793,582.031,
657.793,573.242,
658.827,551.758,
658.827,539.063,
659.817,538.086,
660.806,544.922,
660.806,569.336,
661.797,624.023,
662.786,696.289,
662.786,718.750,
663.822,724.609,
664.810,666.016,
664.810,669.922,
665.801,673.828,
666.837,691.406,
666.837,694.336,
667.826,666.016,
668.816,617.188,
668.816,623.047,
669.806,628.906,
670.801,640.625,
670.801,652.344,
671.830,609.375,
671.830,603.516,
672.820,609.375,
673.810,621.094,
673.810,621.094,
674.800,583.984,
674.800,570.313,
675.790,567.383,
675.790,559.570,
676.826,561.523,
677.815,554.688,
677.815,558.594,
678.806,580.078,
678.806,582.031,
679.795,578.125,
679.795,566.406,
680.785,558.594,
680.785,541.992,
681.865,533.203,
681.865,530.273,
682.809,523.438,
683.800,515.625,
683.800,509.766,
684.791,514.648,
684.791,527.344,
685.825,528.320,
685.825,528.320,
686.815,554.688,
687.805,607.422,
687.805,663.086,
688.794,708.984,
689.784,666.992,
689.784,627.930,
690.820,659.180,
691.809,697.266,
691.809,681.641,
692.800,665.039,
692.800,655.273,
693.834,609.375,
694.915,589.844,
694.915,597.656,
695.860,625.977,
696.806,624.023,
696.806,609.375,
697.795,638.672,
698.784,680.664,
698.784,648.438,
699.820,617.188,
699.820,646.484,
700.809,676.758,
701.845,641.602,
701.845,617.188,
702.789,638.672,
703.870,679.688,
703.870,667.969,
704.814,628.906,
705.804,626.953,
705.804,640.625,
706.794,613.281,
706.794,591.797,
707.784,602.539,
708.819,636.719,
708.819,663.086,
709.809,639.648,
710.799,674.805,
710.799,719.727,
711.789,679.688,
712.824,670.898,
712.824,682.617,
713.860,642.578,
714.804,621.094,
714.804,638.672,
715.805,625.000,
716.828,594.727,
716.828,606.445,
717.819,628.906,
717.819,631.836,
718.809,617.188,
719.799,632.813,
719.799,663.086,
720.789,675.781,
721.824,641.602,
721.824,639.648,
722.813,648.438,
723.804,645.508,
723.804,597.656,
724.793,597.656,
724.793,601.563,
725.783,580.078,
725.783,567.383,
726.908,576.172,
727.808,595.703,
727.808,598.633,
728.800,567.383,
728.800,556.641,
729.788,558.594,
730.868,577.148,
730.868,608.398,
731.858,600.586,
731.858,602.539,
732.803,627.930,
733.795,641.602,
733.795,621.094,
734.782,594.727,
734.782,604.492,
735.819,620.117,
736.808,593.750,
736.808,583.984,
737.798,602.539,
737.798,618.164,
738.795,609.375,
739.823,627.930,
739.823,672.852,
740.813,665.039,
741.802,641.602,
741.802,658.203,
742.792,632.813,
742.792,592.773,
743.783,592.773,
744.817,596.680,
744.817,579.102,
745.807,558.594,
745.807,566.406,
746.843,604.492,
747.798,661.133,
747.798,627.930,
748.869,660.156,
749.811,685.547,
749.811,696.289,
750.803,672.852,
751.791,622.070,
751.791,618.164,
752.781,627.930,
752.781,594.727,
753.817,578.125,
754.808,576.172,
754.808,557.617,
755.797,560.547,
755.797,586.914,
756.794,592.773,
757.822,594.727,
757.822,622.070,
758.856,658.203,
758.856,634.766,
759.801,593.750,
760.792,592.773,
760.792,613.281,
761.781,629.883,
762.818,631.836,
762.818,620.117,
763.807,620.117,
763.807,631.836,
764.800,630.859,
765.831,598.633,
765.831,606.445,
766.821,626.953,
766.821,626.953,
767.811,614.258,
768.846,633.789,
768.846,660.156,
769.791,625.977,
770.781,618.164,
770.781,648.438,
771.816,681.641,
772.805,677.734,
772.805,626.953,
773.797,629.883,
774.785,642.578,
774.785,642.578,
775.821,605.469,
775.821,596.680,
776.811,610.352,
777.801,605.469,
777.801,564.453,
778.792,545.898,
778.792,551.758,
779.780,562.500,
780.860,602.539,
780.860,659.180,
781.896,672.852,
781.896,677.734,
782.799,640.625,
783.785,613.281,
783.785,618.164,
784.820,613.281,
784.820,582.031,
785.810,583.984,
786.800,584.961,Event 2
786.800,585.938,Event 2
787.790,575.195,
787.790,573.242,
788.797,578.125,
789.815,592.773,
789.815,601.563,
790.804,601.563,
790.804,583.008,
791.794,598.633,
792.784,606.445,
793.820,614.258,
793.820,591.797,
794.809,1244.141,
794.809,541.016,
795.800,580.078,
796.789,564.453,
796.789,554.688,
797.798,545.898,
797.798,528.320,
798.815,525.391,
798.815,523.438,
799.804,535.156,
800.795,582.031,
800.795,641.602,
801.784,647.461,
802.819,720.703,
802.819,732.422,
803.809,684.570,
804.801,622.070,
804.801,599.609,
805.790,597.656,
805.790,594.727,
806.795,604.492,
806.795,581.055,
807.814,579.102,
808.804,580.078,
808.804,607.422,
809.795,629.883,
810.785,672.852,
810.785,695.313,
811.837,691.406,
812.810,633.789,
812.810,621.094,
813.799,622.070,
814.789,634.766,
814.789,640.625,
815.824,606.445,
815.824,604.492,
816.815,630.859,
817.804,654.297,
817.804,683.594,
818.803,692.383,
819.783,640.625,
819.783,636.719,
820.818,635.742,
821.810,622.070,
821.810,608.398,
822.801,626.953,
822.801,636.719,
823.788,623.047,
824.779,626.953,
824.779,661.133,
825.814,685.547,
826.804,655.273,
826.804,667.969,
827.794,675.781,
828.784,643.555,
828.784,627.930,
829.864,632.813,
829.864,613.281,
830.853,588.867,
831.798,596.680,
831.798,626.953,
832.790,631.836,
833.779,602.539,
833.779,631.836,
834.813,660.156,
835.803,628.906,
835.803,626.953,
836.799,641.602,
836.799,627.930,
837.784,610.352,
838.819,595.703,
838.819,596.680,
839.808,602.539,
839.808,607.422,
840.799,592.773,
841.789,598.633,
841.789,610.352,
842.777,634.766,
842.777,626.953,
843.902,618.164,
844.804,639.648,
844.804,615.234,
845.794,627.930,
846.783,661.133,
846.783,699.219,
847.818,673.828,
848.809,622.070,
848.809,621.094,
849.798,596.680,
849.798,592.773,
850.832,589.844,
851.778,617.188,
851.778,621.094,
852.859,653.320,
853.803,676.758,
853.803,697.266,
854.793,653.320,
855.783,637.695,
855.783,658.203,
856.817,670.898,
857.808,662.109,
857.808,611.328,
858.798,610.352,
858.798,621.094,
859.789,643.555,
860.779,630.859,
860.779,605.469,
861.813,627.930,
862.803,655.273,
862.803,644.531,
863.793,636.719,
864.782,658.203,
864.782,674.805,
865.817,632.813,
865.817,609.375,
866.807,620.117,
867.798,607.422,
867.798,584.961,
868.787,592.773,
868.787,608.398,
869.778,644.531,
870.812,613.281,
870.812,605.469,
871.802,631.836,
872.792,626.953,
872.792,605.469,
873.782,610.352,
873.782,621.094,
874.817,631.836,
875.808,607.422,
875.808,607.422,
876.797,629.883,
877.787,653.320,
877.787,678.711,
878.777,652.344,
879.869,659.180,
879.869,636.719,
880.847,611.328,
881.793,633.789,
881.793,654.297,
882.782,676.758,
882.782,674.805,
883.818,630.859,
884.807,649.414,
884.807,642.578,
885.798,603.516,
886.787,608.398,
886.787,599.609,
887.784,601.563,
887.784,615.234,
888.812,634.766,
889.802,651.367,
889.802,626.953,
890.792,604.492,
891.782,616.211,
891.782,633.789,
892.816,641.602,
892.816,612.305,
893.809,614.258,
894.797,629.883,
894.797,609.375,
895.788,594.727,
896.776,635.742,
896.776,694.336,
897.812,730.469,
898.802,686.523,
898.802,679.688,
899.791,703.125,
900.827,710.938,
900.827,660.156,
901.817,648.438,
902.853,652.344,
902.853,657.227,
903.797,654.297,
904.787,618.164,
904.787,630.859,
905.776,643.555,
906.815,633.789,
906.815,613.281,
907.847,631.836,
907.847,660.156,
908.793,654.297,
909.826,651.367,
909.826,670.898,
910.816,678.711,
911.806,668.945,
911.806,623.047,
912.841,606.445,
913.786,611.328,
913.786,619.141,
914.776,621.094,
914.776,599.609,
915.812,610.352,
916.801,635.742,
916.801,673.828,
917.791,713.867,
918.782,659.180,
918.782,647.461,
919.816,655.273,
920.806,629.883,
920.806,598.633,
921.795,582.031,
921.795,563.477,
922.786,565.430,
923.776,591.797,
923.776,599.609,
924.810,599.609,
925.801,662.109,
